#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 20 999 99.0 99.0  3.48  9.88  8.02 328 9999.0 999.0  24.5 999.0 99.0 99.00
2015 01 01 00 50 999 99.0 99.0  3.43 11.76  8.00 331 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 01 20 999 99.0 99.0  3.83 11.76  8.40 335 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 01 50 999 99.0 99.0  3.90 12.50  8.83 347 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 02 20 999 99.0 99.0  4.18 12.50  8.82 345 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 02 50 999 99.0 99.0  3.88 11.11  8.62 344 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 03 20 999 99.0 99.0  4.12 12.50  9.03 335 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 03 50 999 99.0 99.0  4.05 11.11  8.77 338 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 04 20 999 99.0 99.0  4.39 12.50  9.31 339 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 04 50 999 99.0 99.0  3.88 12.50  8.90 345 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 05 20 999 99.0 99.0  4.46 12.50  9.49 347 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 05 50 999 99.0 99.0  4.11 13.33  9.13 355 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 06 20 999 99.0 99.0  3.95 12.50  8.97 352 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 06 50 999 99.0 99.0  4.33 13.33  9.37   1 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 07 20 999 99.0 99.0  4.32 12.50  9.56 356 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 07 50 999 99.0 99.0  4.54 12.50  9.96 354 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 08 20 999 99.0 99.0  4.35 14.29  9.85   1 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 08 50 999 99.0 99.0  4.74 13.33 10.32 358 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 09 20 999 99.0 99.0  4.30 12.50  9.74 349 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 09 50 999 99.0 99.0  4.23 11.76  9.84 335 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 10 20 999 99.0 99.0  4.09 13.33  9.49   1 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 10 50 999 99.0 99.0  4.43 12.50  9.60 352 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 11 20 999 99.0 99.0  4.66 13.33  9.67   5 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 11 50 999 99.0 99.0  4.63 12.50  9.84 349 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 12 20 999 99.0 99.0  4.75 13.33  9.78 359 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 12 50 999 99.0 99.0  4.17 13.33  9.57 349 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 13 20 999 99.0 99.0  4.59 12.50  9.88 358 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 13 50 999 99.0 99.0  4.62 13.33  9.88 354 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 14 20 999 99.0 99.0  4.26 13.33  9.53 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 14 50 999 99.0 99.0  4.27 12.50  9.48 352 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 15 20 999 99.0 99.0  4.55 12.50  9.60 351 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 15 50 999 99.0 99.0  3.61 12.50  8.64 348 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 16 20 999 99.0 99.0  3.93 13.33  9.24 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 16 50 999 99.0 99.0  3.68 11.11  9.06 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 17 20 999 99.0 99.0  3.94 11.76  9.16 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 17 50 999 99.0 99.0  3.90 13.33  9.10 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 18 20 999 99.0 99.0  3.56 11.76  9.16 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 18 50 999 99.0 99.0  3.77 12.50  9.26 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 19 20 999 99.0 99.0  3.53 11.76  9.00 359 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 19 50 999 99.0 99.0  3.72 12.50  9.30 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 20 20 999 99.0 99.0  3.80 11.76  9.15 351 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 20 50 999 99.0 99.0  3.58 11.76  9.16 359 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 21 20 999 99.0 99.0  3.24 12.50  8.93   1 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 21 50 999 99.0 99.0  3.38 12.50  9.09 337 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 22 20 999 99.0 99.0  3.74 11.76  9.25 355 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 01 22 50 999 99.0 99.0  3.23 12.50  8.95 348 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 23 20 999 99.0 99.0  3.00 10.53  8.52 342 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 01 23 50 999 99.0 99.0  3.28 12.50  9.06 345 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 00 20 999 99.0 99.0  3.31 11.76  8.95 348 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 00 50 999 99.0 99.0  3.17 11.76  8.50 352 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 01 20 999 99.0 99.0  3.15 11.76  8.55 335 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 01 50 999 99.0 99.0  3.10 11.11  8.77 352 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 02 20 999 99.0 99.0  3.22 11.76  8.78 351 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 02 50 999 99.0 99.0  3.24 11.11  8.92 338 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 03 20 999 99.0 99.0  3.07 11.11  8.62 345 9999.0 999.0  24.4 999.0 99.0 99.00
2015 01 02 03 50 999 99.0 99.0  3.08 11.76  8.67 352 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 04 20 999 99.0 99.0  3.42 11.11  8.91 352 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 04 50 999 99.0 99.0  3.07 11.76  8.70 349 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 05 20 999 99.0 99.0  2.77 11.76  8.28 347 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 05 50 999 99.0 99.0  2.84 11.11  8.68 348 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 06 20 999 99.0 99.0  2.81 11.11  8.59 351 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 06 50 999 99.0 99.0  2.76 11.11  8.74 349 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 07 20 999 99.0 99.0  2.58 11.76  8.73 338 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 07 50 999 99.0 99.0  2.66 11.11  8.81 330 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 08 20 999 99.0 99.0  2.73 11.11  8.94 339 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 08 50 999 99.0 99.0  2.56 11.11  8.89 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 09 20 999 99.0 99.0  2.49 11.76  8.61 323 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 09 50 999 99.0 99.0  2.50 10.53  8.76 348 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 10 20 999 99.0 99.0  2.40 11.76  8.75 351 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 10 50 999 99.0 99.0  2.41 11.11  8.76 328 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 11 20 999 99.0 99.0  2.28 10.53  8.72 337 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 11 50 999 99.0 99.0  2.59 10.53  9.23 347 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 12 20 999 99.0 99.0  2.32 12.50  8.71 313 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 12 50 999 99.0 99.0  2.74 11.76  8.90 323 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 13 20 999 99.0 99.0  2.43 10.53  8.43 342 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 13 50 999 99.0 99.0  2.46  9.88  8.47 359 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 14 20 999 99.0 99.0  2.62  9.88  8.70 349 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 02 14 50 999 99.0 99.0  2.68  9.88  8.42 347 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 02 15 20 999 99.0 99.0  2.71  9.88  8.62 349 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 15 50 999 99.0 99.0  2.41 10.53  8.35 344 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 16 20 999 99.0 99.0  2.73 11.76  8.73 321 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 16 50 999 99.0 99.0  2.22 11.76  8.21 334 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 17 20 999 99.0 99.0  2.60  9.88  8.47 342 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 02 17 50 999 99.0 99.0  2.61  9.88  8.44 348 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 18 20 999 99.0 99.0  2.34 11.76  8.28 330 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 18 50 999 99.0 99.0  2.28 10.53  8.37 339 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 19 20 999 99.0 99.0  2.09 11.11  8.00 335 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 19 50 999 99.0 99.0  2.33  9.88  8.28 352 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 20 20 999 99.0 99.0  2.51  9.88  8.79 352 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 20 50 999 99.0 99.0  2.11  9.88  8.44 341 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 21 20 999 99.0 99.0  2.43  9.88  8.64   6 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 21 50 999 99.0 99.0  2.23  9.88  7.96 348 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 22 20 999 99.0 99.0  2.15 11.76  7.55 320 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 22 50 999 99.0 99.0  2.18  9.88  7.63 356 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 23 20 999 99.0 99.0  2.12  9.88  7.40 354 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 02 23 50 999 99.0 99.0  2.14 12.50  7.55 318 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 00 20 999 99.0 99.0  2.09 11.76  7.29 338 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 00 50 999 99.0 99.0  1.96 10.53  7.00 331 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 01 20 999 99.0 99.0  1.98 11.11  7.27 332 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 01 50 999 99.0 99.0  2.03  9.88  6.89 341 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 02 20 999 99.0 99.0  2.01  9.88  6.65 348 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 02 50 999 99.0 99.0  1.99 10.53  6.84 338 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 03 20 999 99.0 99.0  1.96 10.53  6.72 335 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 03 50 999 99.0 99.0  1.89 10.53  6.17 348 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 04 20 999 99.0 99.0  2.04  9.88  6.47 347 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 04 50 999 99.0 99.0  2.10 11.11  6.21 323 9999.0 999.0  24.3 999.0 99.0 99.00
2015 01 03 05 20 999 99.0 99.0  2.03 10.53  5.89 338 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 05 50 999 99.0 99.0  2.29  9.88  5.87 341 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 06 20 999 99.0 99.0  2.24  7.69  5.90 296 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 06 50 999 99.0 99.0  2.29  6.67  5.77 265 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 07 20 999 99.0 99.0  2.44 10.53  6.17 331 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 07 50 999 99.0 99.0  2.48  7.14  6.17 258 9999.0 999.0  24.2 999.0 99.0 99.00
2015 01 03 08 20 999 99.0 99.0  2.16  9.09  6.18 328 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 08 50 999 99.0 99.0  2.28  8.33  6.64 279 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 09 20 999 99.0 99.0  2.24  9.09  6.75 328 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 09 50 999 99.0 99.0  2.16  7.69  6.55 275 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 10 20 999 99.0 99.0  2.45  9.09  6.22 304 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 10 50 999 99.0 99.0  2.62  9.09  6.23 293 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 11 20 999 99.0 99.0  2.58  8.33  6.09 279 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 11 50 999 99.0 99.0  2.71  8.33  6.24 285 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 12 20 999 99.0 99.0  2.82  9.09  6.61 278 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 12 50 999 99.0 99.0  2.90  9.09  6.47 290 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 13 20 999 99.0 99.0  3.01  7.69  6.45 307 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 13 50 999 99.0 99.0  2.87  8.33  6.54 282 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 14 20 999 99.0 99.0  3.14  9.09  6.54 285 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 14 50 999 99.0 99.0  3.15  9.88  6.80 292 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 15 20 999 99.0 99.0  3.10  9.09  6.70 278 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 15 50 999 99.0 99.0  3.04  9.09  6.74 259 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 16 20 999 99.0 99.0  2.97  9.09  6.70 262 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 16 50 999 99.0 99.0  2.97  9.09  6.63 269 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 17 20 999 99.0 99.0  2.84  9.09  6.75 265 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 18 20 999 99.0 99.0  2.74  9.09  6.60 304 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 18 50 999 99.0 99.0  2.81  7.14  6.98 339 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 19 20 999 99.0 99.0  2.55  9.09  6.99 311 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 19 50 999 99.0 99.0  2.56  6.67  6.85 348 9999.0 999.0  24.1 999.0 99.0 99.00
2015 01 03 20 20 999 99.0 99.0  2.57 18.18  6.89 318 9999.0 999.0  24.2 999.0 99.0 99.00
