date,YYYY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,date,year,month,day,nshor,wshor,almo,dh,winw,wspd,wdir,nsd,ssd
2009-12-31,2010.0,1.0,1.0,1.0,51.0,999.0,,,2.83,13.33,9.89,319.0,9999.0,999.0,24.7,999.0,,,2010-01-01 01:51:00,,,,,,,,,,,,
2010-01-01,2010.0,1.0,1.0,18.0,51.0,999.0,,,2.28,11.11,7.38,332.0,9999.0,999.0,24.4,999.0,,,2010-01-01 18:51:00,2010.0,1.0,1.0,6.0,4.0,2.0,3.0,4.0,3.0,2.0,16.0,13
2010-01-02,2010.0,1.0,3.0,23.0,51.0,999.0,,,1.96,16.67,10.52,314.0,9999.0,999.0,24.9,999.0,,,2010-01-03 02:21:00,2010.0,1.0,2.0,7.0,4.0,2.0,2.0,3.0,2.0,17.0,14.0,999
2010-01-03,2010.0,1.0,3.0,18.0,51.0,999.0,,,1.84,14.29,9.22,319.0,9999.0,999.0,24.6,999.0,,,2010-01-03 18:51:00,2010.0,1.0,3.0,6.0,4.0,2.0,2.0,2.0,4.0,11.0,15.0,999
2010-01-04,2010.0,1.0,4.0,17.0,51.0,999.0,,,2.15,11.11,7.43,312.0,9999.0,999.0,24.8,999.0,,,2010-01-04 17:51:00,2010.0,1.0,4.0,6.0,3.0,2.0,2.0,2.0,4.0,11.0,14.0,999
2010-01-05,2010.0,1.0,6.0,1.0,21.0,999.0,,,4.2,14.29,11.66,325.0,9999.0,999.0,24.8,999.0,,,2010-01-06 01:21:00,2010.0,1.0,5.0,18.0,6.0,2.0,2.0,2.0,4.0,11.0,14.0,999
2010-01-06,2010.0,1.0,6.0,17.0,51.0,999.0,,,3.47,16.67,12.27,308.0,9999.0,999.0,24.8,999.0,,,2010-01-06 17:51:00,2010.0,1.0,6.0,15.0,4.0,2.0,2.0,2.0,3.0,13.0,14.0,999
2010-01-07,2010.0,1.0,7.0,17.0,21.0,999.0,,,3.99,14.29,11.44,315.0,9999.0,999.0,24.8,999.0,,,2010-01-07 17:21:00,2010.0,1.0,7.0,15.0,8.0,3.0,4.0,2.0,3.0,2.0,14.0,999
2010-01-08,2010.0,1.0,8.0,17.0,21.0,999.0,,,3.51,14.29,11.23,312.0,9999.0,999.0,24.6,999.0,,,2010-01-08 17:21:00,2010.0,1.0,8.0,15.0,6.0,3.0,3.0,2.0,2.0,17.0,15.0,999
2010-01-09,2010.0,1.0,9.0,17.0,21.0,999.0,,,2.46,13.33,10.94,318.0,9999.0,999.0,24.8,999.0,,,2010-01-09 17:21:00,2010.0,1.0,9.0,10.0,5.0,2.0,2.0,4.0,4.0,11.0,16.0,999
2010-01-10,2010.0,1.0,11.0,3.0,51.0,999.0,,,2.44,14.29,9.54,321.0,9999.0,999.0,24.9,999.0,,,2010-01-11 03:51:00,2010.0,1.0,10.0,7.0,4.0,2.0,2.0,2.0,4.0,13.0,15.0,999
2010-01-11,2010.0,1.0,12.0,3.0,51.0,999.0,,,5.88,16.67,13.14,314.0,9999.0,999.0,24.7,999.0,,,2010-01-12 03:51:00,2010.0,1.0,11.0,27.0,15.0,2.0,2.0,6.0,3.0,2.0,15.0,999
2010-01-12,2010.0,1.0,12.0,17.0,51.0,999.0,,,3.5,14.29,11.44,321.0,9999.0,999.0,24.7,999.0,,,2010-01-12 17:51:00,2010.0,1.0,12.0,15.0,8.0,2.0,2.0,4.0,3.0,5.0,15.0,999
2010-01-13,2010.0,1.0,14.0,3.0,21.0,999.0,,,4.02,13.33,9.79,317.0,9999.0,999.0,25.0,999.0,,,2010-01-14 03:21:00,2010.0,1.0,13.0,12.0,6.0,3.0,3.0,4.0,6.0,13.0,14.0,999
2010-01-14,2010.0,1.0,14.0,19.0,51.0,999.0,,,5.45,14.29,10.72,311.0,9999.0,999.0,24.6,999.0,,,2010-01-14 19:51:00,2010.0,1.0,14.0,15.0,12.0,2.0,2.0,4.0,5.0,1.0,15.0,999
